Rang,Institut,Sitz,Verband,Bilanzsumme gemäß Bilanzstatistik,Kundeneinlagen,Spareinlagen,Kundenkredite,Anzahl Mitarbeiter,Sparkassenstellen (einschließlich SB),links
358,Sparkasse Bonndorf-Stühlingen,Bonndorf,SVBW,535203,390052,183103,281759,95,8,https://www.sparkasse-bonndorf-stuehlingen.de/de/home.html
359,Stadtsparkasse Wunstorf,Wunstorf,SVN,533705,419646,142156,407944,98,7,https://www.ssk-wunstorf.de/de/home.html
360,Stadtsparkasse Bad Pyrmont,Bad Pyrmont,SVN,529168,276384,61307,178975,94,4,https://www.ssk-bad-pyrmont.de/de/home.html
361,Stadtsparkasse Sprockhövel,Sprockhövel,SVWL,493331,349399,125834,369757,93,4,https://www.sparkasse-sprockhoevel.de/de/home.html
362,Sparkasse Nördlingen,Nördlingen,SVB,475808,379256,134742,300301,104,11,https://www.sparkasse-noerdlingen.de/de/home.html
363,Sparkasse Wolfach,Wolfach,SVBW,470317,328570,133945,274179,95,6,https://www.sparkasse-wolfach.de/de/home.html
364,Stadtsparkasse Bad Honnef,Bad Honnef,RSGV,468614,397018,105494,273843,99,4,https://www.ksk-koeln.de/de/home/ihre-sparkasse/ihre-sparkasse-vor-ort/rhein-sieg-kreis/bad-honnef.html
365,Stadtsparkasse Rahden,Rahden,SVWL,465677,294475,81902,352362,78,4,https://www.stadtsparkasse-rahden.de/de/home.html
366,Sparkasse Gengenbach,Gengenbach,SVBW,450613,274017,119849,311077,79,8,https://www.spk-gengenbach.de/de/home.html
367,Stadtsparkasse Lengerich,Lengerich,SVWL,437631,275120,105876,337815,94,3,https://www.stadtsparkasse-lengerich.de/de/home.html
368,Sparkasse Münden,Hann. Münden,SVN,425046,332693,88362,297066,125,7,https://www.spk-muenden.de/de/home.html
369,Sparkasse St. Blasien,St. Blasien,SVBW,420848,219973,92183,304530,74,7,https://www.sparkasse-st-blasien.de/de/home.html
370,Stadtsparkasse Burgdorf,Burgdorf,SVN,419947,308178,101833,260995,86,6,https://www.stadtsparkasse-burgdorf.de/de/home.html
371,Stadtsparkasse Barsinghausen,Barsinghausen,SVN,393154,292080,64446,304415,78,4,https://www.stadtsparkasse-barsinghausen.de/de/home.html
372,Stadtsparkasse Schmallenberg,Schmallenberg,SVWL,389288,307447,95919,250533,88,8,https://www.stadtsparkasse-schmallenberg.de/de/home.html
373,Stadtsparkasse Delbrück,Delbrück,SVWL,357904,266423,112454,266824,79,3,https://www.sparkasse-delbrueck.de/de/home.html
