Rang,Institut,Sitz,Verband,Bilanzsumme gemäß Bilanzstatistik,Kundeneinlagen,Spareinlagen,Kundenkredite,Anzahl Mitarbeiter,Sparkassenstellen (einschließlich SB),links
111,Sparkasse Zollernalb,Balingen,SVBW,3514272,2718881,1076595,2077817,675,50,https://www.sparkasse-zollernalb.de/de/home.html
112,Sparkasse Hilden-Ratingen-Velbert,Velbert,RSGV,3499497,2854698,1122559,2418941,688,27,https://www.sparkasse-hrv.de/de/home.html
113,Sparkasse Langen-Seligenstadt,Seligenstadt,SGVHT,3468200,2698366,459075,2500786,655,43,https://www.sls-direkt.de/de/home.html
114,Sparkasse Schwäbisch Hall Crailsheim,Schwäbisch Hall,SVBW,3435843,2170089,501448,2234144,546,37,https://www.sparkasse-sha.de/de/home.html
115,Sparkasse Göttingen,Göttingen,SVN,3417900,2518245,726532,2657993,675,40,https://www.spk-goettingen.de/de/home.html
116,Sparkasse Leverkusen,Leverkusen,RSGV,3372082,2602784,722885,2916170,544,19,https://www.sparkasse-lev.de/de/home.html
117,Sparkasse am Niederrhein,Moers,RSGV,3337969,2632799,685013,2454343,642,31,https://www.sparkasse-am-niederrhein.de/de/home.html
118,Kreissparkasse Groß-Gerau,Groß-Gerau,SGVHT,3331915,2535771,467569,2558629,589,36,https://www.kskgrossgerau.de/de/home.html
119,Sparkasse Westerwald-Sieg,Bad Marienberg,SVRP,3329406,2660184,713426,2359323,619,51,https://www.sk-westerwald-sieg.de/de/home.html
120,Sparkasse Vogtland,Plauen,OSV,3323458,2673814,1383511,1735530,526,43,https://www.sparkasse-vogtland.de/de/home.html
121,Sparkasse Gelsenkirchen,Gelsenkirchen,SVWL,3308038,2582310,975815,1929626,760,33,https://www.sparkasse-gelsenkirchen.de/de/home.html
122,Hegau-Bodensee,Singen,SVBW,3285501,2159658,877298,2258100,548,25,https://www.sparkasse-hegau-bodensee.de/de/home.html
123,Sparkasse Dachau,Dachau,SVB,3247324,2408506,406392,2565468,491,36,https://www.sparkasse-dachau.de/de/home.html
124,Spk.Rotenburg Osterholz,Zeven,SVN,3229655,2499918,866536,2242515,706,50,https://www.spk-row-ohz.de/de/home.html
125,Sparkasse HagenHerdecke,Hagen,SVWL,3226301,2213236,737737,2213980,526,31,https://www.sparkasse-hagenherdecke.de/de/home.html
126,Sparkasse Passau,Passau,SVB,3197718,2494721,906575,1950275,610,33,https://www.sparkasse-passau.de/de/home.html
127,Kreissparkasse Herzogtum Lauenburg,Ratzeburg,SGVSH,3188252,2129638,391850,2499789,609,33,https://www.ksk-ratzeburg.de/de/home.html
128,Sparkasse Lemgo,Lemgo,SVWL,3165331,2272909,827932,2438523,540,25,https://www.sparkasse-lemgo.de/de/home.html
129,Kreissparkasse Mittelsachsen,Freiberg,OSV,3153304,2545560,1203441,1356495,528,54,https://www.sparkasse-mittelsachsen.de/de/home.html
130,Sparkasse Hochrhein,Waldshut-Tiengen,SVBW,3147336,2175905,649741,2284061,517,28,https://www.sparkasse-hochrhein.de/de/home.html
131,Sparkasse Südliche Weinstraße,Landau,SVRP,3116056,2426473,233406,2170986,429,37,https://www.sparkasse-suew.de/de/home.html
132,Sparkasse Worms-Alzey-Ried,Worms,SVRP,3066915,2562638,661726,1995128,530,39,https://www.sparkasse-worms-alzey-ried.de/de/home.html
133,Ndrh. SPK RheinLippe,Wesel,RSGV,2991290,2331921,982180,2260328,683,45,https://www.nispa.de/de/home.html
134,Sparkasse Oder-Spree,Frankfurt (Oder),OSV,2958433,2511739,972967,1290572,469,31,https://www.s-os.de/de/home.html
135,Kreissparkasse Rottweil,Rottweil/N.,SVBW,2910714,2111041,624173,1719583,462,38,https://www.sparkasse-rottweil.de/de/home.html
136,Kreissparkasse Wiedenbrück,Rheda-Wiedenbrück,SVWL,2894368,2295083,456391,1200763,314,16,https://www.kskwd.de/de/home.html
137,Sparkasse zu Lübeck AG,Lübeck,SGVSH,2875385,1908676,450892,2137600,507,23,https://www.spk-luebeck.de/de/home.html
138,Sparkasse Mülheim an der Ruhr,Mülheim Ruhr,RSGV,2866617,2094269,745247,2252019,493,20,https://www.sparkasse-muelheim-ruhr.de/de/home.html
139,Kreissparkasse Verden,Verden,SVN,2860073,2000903,804724,2222990,518,32,https://www.ksk-verden.de/de/home.html
140,Sparkasse Meißen,Riesa,OSV,2842682,2420191,1016863,1163828,365,34,https://www.sparkasse-meissen.de/de/home.html
141,Kreissparkasse Düsseldorf,Düsseldorf,RSGV,2799284,2283696,727059,2031129,552,17,https://www.kreissparkasse-duesseldorf.de/de/home.html
142,Sparkasse Lüneburg,Lüneburg,SVN,2791240,1973703,658996,2219387,554,39,https://www.sparkasse-lueneburg.de/de/home.html
143,Stadt-Sparkasse Solingen,Solingen,RSGV,2778386,2034039,700431,2202422,563,21,https://www.sparkasse-solingen.de/de/home.html
144,Sparkasse Mittelmosel Eifel Mosel Hunsrück,Bernkastel-Kues,SVRP,2777781,2156686,621819,1592148,499,21,https://www.sparkasse-emh.de/en/home.html
145,Sparkasse Lörrach-Rheinfelden,Lörrach,SVBW,2774045,1608188,521819,2192473,405,18,https://www.sparkasse-loerrach.de/de/home.html
146,Sparkasse Oberland,Weilheim,SVB,2754137,2112760,507010,1987818,518,34,https://www.sparkasse-oberland.de/de/home.html
147,Sparkasse Zwickau,Zwickau,OSV,2749990,2335740,742303,920893,434,32,https://www.spk-zwickau.de/de/home.html
148,Sparkasse Tauberfranken,Tauberbischofsheim,SVBW,2740639,2033096,652580,1818802,523,34,https://www.sparkasse-tauberfranken.de/de/home.html
149,Sparkasse Altötting-Mühldorf,Mühldorf/Inn,SVB,2726430,2187867,694793,1934162,511,32,https://www.spkam.de/de/home.html
150,Sparkasse Coburg-Lichtenfels,Coburg,SVB,2699224,2278111,737006,1668109,572,36,https://www.sparkasse-co-lif.de/en/home.html
151,Sparkasse Mittelholstein AG,Rendsburg,SGVSH,2673857,1714199,324403,2147429,419,17,https://www.spk-mittelholstein.de/de/home.html
152,Kreis- und Stadtsparkasse Unna-Kamen,Unna,SVWL,2665309,1869282,521379,2128184,432,18,https://www.sparkasse-unnakamen.de/de/home.html
153,Sparkasse Celle,Celle,SVN,2653360,2018186,181990,1765218,580,37,https://www.sparkasse-celle.de/de/home.html
154,Harzsparkasse,Wernigerode,OSV,2651657,2189974,1183493,1205841,449,60,https://www.harzsparkasse.de/de/home.html
155,Sparkasse LeerWittmund,Leer,SVN,2615530,1926093,875333,1860270,568,39,https://www.sparkasse-leerwittmund.de/de/home.html
156,Sparkasse Dieburg,Groß-Umstadt,SGVHT,2598348,2110788,567232,1760984,457,45,https://www.sparkasse-dieburg.de/de/home.html
157,Sparkasse Wetzlar,Wetzlar,SGVHT,2587488,2016704,348529,1323236,491,29,https://www.sparkasse-wetzlar.de/de/home.html
158,Sparkasse SoestWerl,Soest,SVWL,2568332,2023973,832238,1707845,406,24,https://www.sparkasse-soestwerl.de/de/home.html
159,Sparkasse Minden-Lübbecke,Minden,SVWL,2554810,1875336,886634,1711561,591,30,https://www.sparkasse-minden-luebbecke.de/de/home.html
160,Sparkasse Schaumburg,Rinteln,SVN,2521159,2058375,741385,1716472,481,35,https://www.spk-schaumburg.de/de/home.html
161,Stadtsparkasse Magdeburg,Magdeburg,OSV,2503688,2189225,797899,1131583,405,25,https://www.sparkasse-magdeburg.de/de/home.html
162,Salzlandsparkasse,Bernburg,OSV,2499869,2088636,994021,1307438,527,46,https://www.salzlandsparkasse.de/de/home.html
163,Stadtsparkasse Oberhausen,Oberhausen,RSGV,2490153,1816662,775207,1858430,534,15,https://www.stadtsparkasse-oberhausen.de/de/home.html
164,Sparkasse Neumarkt-Parsberg,Neumarkt Oberpf.,SVB,2485827,1840839,359821,1352272,447,26,https://www.sparkasse-neumarkt.de/de/home.html
165,Sparkasse Bad Tölz-Wolfratshausen,Bad Tölz,SVB,2484363,2013194,400194,1795153,452,29,https://www.spktw.de/en/home.html
166,Sparkasse Gütersloh-Rietberg,Gütersloh,SVWL,2473802,1880260,166012,1867568,451,18,https://www.sparkasse-guetersloh-rietberg.de/de/home.html
167,Sparkasse Bayreuth,Bayreuth,SVB,2470322,2067676,626635,1504144,491,33,https://www.sparkasse-bayreuth.de/de/home.html
168,Sparkasse Kulmbach-Kronach,Kulmbach,SVB,2467405,1993228,631621,1367245,501,37,https://www.s-kukc.de/de/home.html
169,Sparkasse Markgräflerland,Müllheim,SVBW,2459587,1457121,483035,1739555,394,20,https://www.sparkasse-markgraeflerland.de/en/home.html
170,Sparkasse Burgenlandkreis,Zeitz,OSV,2408641,2031174,972523,1078520,469,43,https://www.spk-burgenlandkreis.de/de/home.html
171,Kreissparkasse Traunstein-Trostberg,Traunstein,SVB,2394837,1952578,599277,1297737,410,32,https://www.spk-ts.de/en/home.html
172,Kreissparkasse Kelheim,Kelheim,SVB,2361531,1891017,404429,1499133,463,32,https://www.kreissparkasse-kelheim.de/de/home.html
173,KSK Schwalm-Eder,Melsungen,SGVHT,2332871,1779482,614164,1515940,425,35,https://www.kreissparkasse-schwalm-eder.de/de/home.html
174,Sparkasse Gießen,Gießen,SGVHT,2331080,1864154,269028,1439461,529,33,https://www.sparkasse-giessen.de/de/home.html
175,Sparkasse Mainz,Mainz,SVRP,2311377,1799193,406328,1715082,414,34,https://www.sparkasse-mainz.de/de/home.html
176,Sparkasse Mecklenburg-Schwerin,Schwerin,OSV,2309845,1934279,893359,1263491,412,28,https://www.sparkasse-mecklenburg-schwerin.de/de/home.html
177,Sparkasse Hameln-Weserbergland,Hameln,SVN,2305632,1847231,551475,1380896,460,37,https://www.spkhw.de/de/home.html
178,Sparkasse Südwestpfalz,Pirmasens,SVRP,2301304,1849633,401387,1606211,462,40,https://www.sparkasse-suedwestpfalz.de/de/home.html
179,Sparkasse Neckartal-Odenwald,Mosbach,SVBW,2296406,1748416,602680,1292109,410,38,https://www.sparkasse-neckartal-odenwald.de/de/home.html
180,Sparkasse Aurich-Norden,Aurich,SVN,2286570,1644936,422535,1899465,441,36,https://www.sparkasse-aurich-norden.de/de/home.html
181,Sparkasse Gera-Greiz,Gera,SGVHT,2284822,2014016,979004,1133999,419,35,https://www.sparkasse-gera-greiz.de/de/home.html
182,Sparkasse Rottal-Inn,Eggenfelden,SVB,2279457,1701552,480076,1438923,439,34,https://www.sparkasse-rottal-inn.de/de/home.html
183,Sparkasse Rhein-Maas,Kleve,RSGV,2232284,1665080,696324,1580154,512,21,https://www.sparkasse-rhein-maas.de/de/home.html
184,Sparkasse Deggendorf,Deggendorf,SVB,2219654,1693547,523822,1343565,424,30,https://www.sparkassedeggendorf.de/de/home.html
185,Sparkasse Neuwied,Neuwied,SVRP,2209178,1773981,381791,1444177,445,36,https://www.sparkasse-neuwied.de/de/home.html
186,Kreis- und Stadtsparkasse Erding-Dorfen,Erding-Dorfen,SVB,2200269,1708336,333185,1237856,360,35,https://www.spked.de/de/home.html
187,Sparkasse Uelzen Lüchow-Dannenberg,Uelzen,SVN,2197167,1745836,702872,1255130,465,26,https://www.sparkasse-uelzen-luechow-dannenberg.de/de/home.html
188,Sparkasse Starkenburg,Heppenheim,SGVHT,2151284,1531482,753498,1130132,376,23,https://www.sparkasse-starkenburg.de/de/home.html
189,Kreissparkasse Heidenheim,Heidenheim,SVBW,2128027,1512732,452161,1245761,350,23,https://www.ksk-heidenheim.de/de/home.html
190,Sparkasse Waldeck-Frankenberg,Korbach,SGVHT,2111816,1604939,384985,1271438,433,32,https://www.sparkasse-wa-fkb.de/de/home.html
191,Sparkasse im Landkreis Schwandorf,Schwandorf,SVB,2098520,1677386,509553,1323636,427,32,https://www.sparkasse-schwandorf.de/de/home.html
192,Sparkasse Jena-Saale-Holzland,Jena,SGVHT,2085335,1824101,596103,1188584,366,42,https://www.s-jena.de/de/home.html
193,Sparkasse Lüdenscheid,Lüdenscheid,SVWL,2055318,1610256,487912,1250782,369,19,https://www.sparkasse-luedenscheid.de/en/home.html
194,Sparkasse Witten,Witten,SVWL,2037475,1346563,471211,1384490,365,13,https://www.sparkasse-witten.de/de/home.html
195,Sparkasse Landsberg-Dießen,Landsberg,SVB,2028724,1540842,242512,1335822,368,30,https://www.sparkasse-landsberg.de/de/home.html
196,Sparkasse Miltenberg-Obernburg,Miltenberg,SVB,2022420,1541029,409980,1074633,411,28,https://www.s-mil.de/de/home.html
197,Sparkasse Neu-Ulm-Illertissen,Neu-Ulm,SVB,2020002,1594565,323883,1300980,425,30,https://www.sparkasse-neu-ulm-illertissen.de/de/home.html
198,Rhön-Rennsteig Sparkasse,Meiningen,SGVHT,2017421,1711534,796798,822219,372,37,https://www.rhoen-rennsteig-sparkasse.de/de/home.html
199,Sparkasse Günzburg-Krumbach,Günzburg,SVB,2016532,1645425,513190,1251867,368,20,https://www.sparkasse-guenzburg-krumbach.de/de/home.html
200,Kreissparkasse Euskirchen,Euskirchen,RSGV,1993296,1622811,440023,1507474,427,21,https://www.kreissparkasse-euskirchen.de/de/home.html
201,Kreissparkasse Ahrweiler,Bad Neuenahr-Ahrweiler,SVRP,1992980,1623830,577021,1479314,406,29,https://www.kreissparkasse-ahrweiler.de/de/home.html
202,Sparkasse an der Lippe,Lünen,SVWL,1976979,1450689,574796,1372741,373,19,https://www.sparkasse-adl.de/de/home.html
203,Sparkasse Baden-Baden Gaggenau,Baden-Baden,SVBW,1967403,1541602,468803,1217874,335,17,https://www.spk-bbg.de/de/home.html
204,Herner Sparkasse,Herne,SVWL,1967330,1510689,303997,879507,359,16,https://www.herner-sparkasse.de/de/home.html
205,Kreissparkasse Mayen,Mayen,SVRP,1964071,1420343,371707,1449583,404,27,https://www.kskmayen.de/de/home.html
206,Sparkasse Forchheim,Forchheim,SVB,1958162,1383851,380819,1204100,394,34,https://www.sparkasse-forchheim.de/de/home.html
207,Sparkasse im Landkreis Neustadt/Aisch-Windshm.,Neustadt/Aisch,SVB,1949437,1358953,384069,968144,402,28,https://www.sparkasse-nea.de/de/home.html
208,Kreissparkasse Anhalt-Bitterfeld,Bitterfeld,OSV,1947973,1605845,827550,743880,312,19,https://www.ksk-anhalt-bitterfeld.de/de/home.html
209,Sparkasse Bad Hersfeld-Rotenburg,Bad Hersfeld,SGVHT,1947799,1480165,370581,1073207,434,36,https://www.spk-hef.de/de/home.html
210,Sparkasse Hohenlohekreis,Künzelsau,SVBW,1945355,1532378,502576,1135561,342,22,https://www.spk-hohenlohekreis.de/de/home.html
211,Kreissparkasse Börde,Oschersleben,OSV,1941477,1589539,831418,662301,332,32,https://www.ksk-boerde.de/de/home.html
212,Sparkasse Amberg-Sulzbach,Amberg,SVB,1939070,1548336,480411,1392134,403,21,https://www.sparkasse-amberg-sulzbach.de/en/home.html
213,Sparkasse Elbe-Elster,Finsterwalde,OSV,1911539,1490380,734009,650191,332,24,https://www.spk-elbe-elster.de/de/home.html
214,Sparkasse Germersheim-Kandel,Kandel,SVRP,1900661,1521407,528299,1239868,393,28,https://www.sparkasse-ger-kandel.de/de/home.html
215,Sparkasse Lippstadt,Lippstadt,SVWL,1895369,1417856,657556,1359492,331,24,https://www.sparkasse-lippstadt.de/de/home.html
216,Sparkasse Barnim,Eberswalde,OSV,1891239,1559661,662632,943244,336,27,https://www.spk-barnim.de/de/home.html
217,KSK Grafschaft Bentheim zu Nordhorn,Nordhorn,SVN,1888677,1296610,466688,1491022,431,27,https://www.sparkasse-nordhorn.de/de/home.html
218,Kreissparkasse Miesbach-Tegernsee,Miesbach,SVB,1888598,1547264,386281,1209828,351,22,https://www.ksk-mbteg.de/de/home.html
219,Sparkasse Märkisch-Oderland,Strausberg,OSV,1885825,1619236,806172,653321,283,31,https://www.sparkasse-mol.de/de/home.html
220,Kreissparkasse Saarpfalz,Homburg Saar,SvSaar,1872619,1467443,553709,1455739,407,30,https://www.ksk-saarpfalz.de/de/home.html
221,Kreissparkasse Kusel,Kusel,SVRP,1862306,1125048,435807,1347068,334,18,https://www.ksk-kusel.de/de/home.html
222,Kreissparkasse Freudenstadt,Freudenstadt,SVBW,1841448,1366631,399812,1048410,338,26,https://www.ksk-fds.de/de/home.html
223,Wartburg-Sparkasse,Eisenach,SGVHT,1833276,1534987,632765,1004571,330,27,https://www.wartburg-sparkasse.de/de/home.html
224,Kreissparkasse Bautzen,Bautzen,OSV,1821812,1552028,643861,612059,326,42,https://www.ksk-bautzen.de/de/home.html
225,Kreissparkasse Grafschaft Diepholz,Diepholz,SVN,1821209,1329787,463658,1347916,369,16,https://www.kreissparkasse-diepholz.de/de/home.html
226,Sparkasse Stade - Altes Land,Stade,SVN,1820916,1325720,443937,1508983,373,14,https://www.sparkasse-stade-altes-land.de/de/home.html
227,Sparkasse Nienburg,Nienburg/Weser,SVN,1816338,1396165,520585,1194905,409,28,https://www.sparkasse-nienburg.de/de/home.html
228,Sparkasse im Landkreis Cham,Cham,SVB,1813904,1460317,704670,1019226,313,36,https://www.spk-cham.de/de/home.html
229,Sparkasse Werra-Meißner,Eschwege,SGVHT,1813885,1176215,196629,1000016,355,23,https://www.sparkasse-werra-meissner.de/de/home.html
230,Sparkasse Bensheim,Bensheim,SGVHT,1813080,1424105,318601,1034377,388,17,https://www.sparkasse-bensheim.de/de/home.html
231,Kreissparkasse Stade,Stade,SVN,1806789,1134333,353689,1305415,348,23,https://www.ksk-stade.de/de/home.html
232,Sparkasse Hamm,Hamm,SVWL,1790036,1399418,621770,1304374,339,16,https://www.sparkasse-hamm.de/en/home.html
233,Sparkasse Merzig-Wadern,Merzig,SvSaar,1780666,1370140,379768,1473334,396,42,https://www.sparkassemerzig-wadern.de/de/home.html
234,Vereinigte Sparkasse im Märkischen Kreis,Plettenberg,SVWL,1757663,1167398,293865,1374309,312,22,https://www.spk-mk.de/de/home.html
235,Sparkasse Niederlausitz,Senftenberg,OSV,1753551,1493722,849549,763513,307,21,https://www.sparkasse-niederlausitz.de/de/home.html
236,Kreissparkasse Rhein-Hunsrück,Simmern,SVRP,1751800,1399586,347020,1236814,359,17,https://www.kskrh.de/de/home.html
237,Hohenzollerische KSK Sigmaringen,Sigmaringen,SVBW,1733587,1275655,533731,936411,306,19,https://www.ksk-sigmaringen.de/de/home.html
238,Sparkasse Rastatt-Gernsbach,Rastatt,SVBW,1700515,1256018,452005,972489,269,22,https://www.spk-rastatt-gernsbach.de/de/home.html
239,Sparkasse Freising,Freising,SVB,1689318,1351567,372079,1087671,312,21,https://www.sparkasse-freising.de/en/home.html
240,Sparkasse Berchtesgadener Land,Bad Reichenhall,SVB,1687518,1326913,465255,1028095,376,19,https://www.sparkasse-bgl.de/de/home.html
241,Kreissparkasse Bersenbrück,Bersenbrück,SVN,1643820,1238670,663291,1155000,327,23,https://www.ksk-bersenbrueck.de/de/home.html
242,Stadtsparkasse Remscheid,Remscheid,RSGV,1641946,1238331,306755,1188109,321,15,https://www.stadtsparkasse-remscheid.de/de/home.html
243,Sparkasse Neunkirchen,Neunkirchen Saar,SvSaar,1641074,1245561,471156,1259429,357,27,https://www.sparkasse-neunkirchen.de/de/home.html
244,Sparkasse der Stadt Iserlohn,Iserlohn,SVWL,1629168,1273975,424712,1099594,331,11,https://www.sparkasse-iserlohn.de/de/home.html
245,Sparkasse Wittenberg,Lutherstadt Wittenberg,OSV,1602937,1375603,547234,855679,245,34,https://www.sparkasse-wittenberg.de/de/home.html
246,Sparkasse Bad Kissingen,Bad Kissingen,SVB,1601320,1208714,500808,783524,345,21,https://www.spk-kg.de/de/home.html
247,Sparkasse Regen-Viechtach,Regen,SVB,1588855,1173851,607025,827370,267,27,https://www.sparkasse-regen-viechtach.de/de/home.html
248,Sparkasse Oberpfalz Nord,Weiden,SVB,1568284,1281734,391728,1035629,352,30,https://www.sparkasse-oberpfalz-nord.de/en/home.html
249,Sparkasse Odenwaldkreis,Erbach,SGVHT,1562035,1187647,394973,1092416,357,18,https://www.sparkasse-odenwaldkreis.de/de/home.html
250,Stadtsparkasse Rheine,Rheine,SVWL,1544027,1041550,296551,763345,225,12,https://www.sparkasse-rheine.de/de/home.html
251,Sparkasse Höxter,Brakel,SVWL,1539376,1222836,424713,1164484,332,22,https://www.sparkasse-hoexter.de/de/home.html
252,Sparkasse Mansfeld-Südharz,Lutherstadt Eisleben,OSV,1528193,1293148,551822,667549,265,34,https://www.sparkasse-msh.de/de/home.html
253,Kreissparkasse Limburg,Limburg,SGVHT,1519394,1207318,291484,961444,347,35,https://www.ksk-limburg.de/de/home.html
254,Kreis- und Stadtsparkasse Kaufbeuren,Kaufbeuren,SVB,1509296,1103481,324856,903262,289,13,https://www.sparkasse-kaufbeuren.de/en/home.html
255,Sparkasse Gevelsberg-Wetter,Gevelsberg,SVWL,1508381,1088652,432970,1077063,224,13,https://www.sparkasse-gw.de/de/home.html
256,Vereinigte Spk. Eschenbach Neustadt Vohenstrauß,Neustadt,SVB,1486253,1020760,304723,762888,277,21,https://www.vspk-neustadt.de/de/home.html
257,Sparkasse Pfaffenhofen,Pfaffenhofen,SVB,1485364,1174637,302639,897853,307,17,https://www.sparkasse-pfaffenhofen.de/de/home.html
258,Stadt-Sparkasse Langenfeld,Langenfeld,RSGV,1483176,1006009,371411,1176468,219,5,https://www.sparkasse-langenfeld.de/de/home.html
259,Sparkasse Bad Neustadt a.d. Saale,Bad Neustadt a.d. Saale,SVB,1468797,1143211,471468,574647,289,17,https://www.sparkasse-badneustadt.de/de/home.html
260,Städtische Sparkasse Offenbach am Main,Offenbach,SGVHT,1453035,1216485,307067,835835,261,17,https://www.sparkasse-offenbach.de/de/home.html
261,Kreissparkasse Birkenfeld,Idar-Oberstein,SVRP,1446343,1169893,546429,901079,350,27,https://www.ksk-birkenfeld.de/de/home.html
262,Kreissparkasse Stendal,Stendal,OSV,1418591,996331,461526,753963,231,21,https://www.ksk-stendal.de/de/home.html
263,Kreissparkasse Northeim,Northeim,SVN,1413478,1023317,491547,1052868,304,21,https://www.ksn-northeim.de/de/home.html
264,Sparkasse Donnersberg,Rockenhausen,SVRP,1411762,814528,201407,859887,246,12,https://www.sparkasse-donnersberg.de/de/home.html
265,Sparkasse Hanauerland,Kehl,SVBW,1411613,796216,364769,825273,239,13,https://www.sparkasse-kehl.de/de/home.html
266,Sparkasse Aichach-Schrobenhausen,Aichach,SVB,1401542,1045169,319563,803547,272,19,https://www.spk-aic-sob.de/de/home.html
267,Sparkasse Arnsberg-Sundern,Arnsberg,SVWL,1390921,1051073,208473,978744,240,19,https://www.sparkasse-arnsberg-sundern.de/de/home.html
268,Sparkasse Neubrandenburg-Demmin,Neubrandenburg,OSV,1390442,1160003,427435,586967,249,17,https://www.spk-nbdm.de/de/home.html
269,Sparkasse Mecklenburg-Nordwest,Wismar,OSV,1387347,1215558,496032,677674,259,23,https://www.spk-mecklenburg-nordwest.de/de/home.html
270,Kreis- und Stadtsparkasse Dillingen,Dillingen,SVB,1385980,1074365,266433,822429,263,16,https://www.sparkasse-dillingen.de/de/home.html
271,Kreissparkasse Bitburg-Prüm,Bitburg,SVRP,1377504,1062357,341007,871498,310,25,https://www.kskbitburg-pruem.de/de/home.html
272,Sparkasse Gummersbach-Bergneustadt,Gummersbach,RSGV,1366653,1102202,500508,1031859,249,15,https://www.sparkasse-gm.de/de/home.html
273,Sparkasse Staufen-Breisach,Staufen im Breisgau,SVBW,1358209,1027905,292063,948961,268,21,https://www.sparkasse-staufen-breisach.de/de/home.html
274,Kreissparkasse Halle,Halle (Westf.),SVWL,1357850,1005854,167878,992883,198,8,https://www.kskhalle.de/de/home.html
275,Sparkasse Dillenburg,Dillenburg,SGVHT,1351258,1053407,332365,828122,316,23,https://www.sparkasse-dillenburg.de/de/home.html
276,Kreissparkasse Melle,Melle,SVN,1348788,951029,309242,1028336,253,10,https://www.ksk-melle.de/de/home.html
277,Kreissparkasse Eichsfeld,Worbis,SGVHT,1339403,1071526,358873,674320,244,17,https://www.kreissparkasse-eichsfeld.de/de/home.html
278,Sparkasse Bad Oeynhausen - Porta Westfalica,Bad Oeynhausen,SVWL,1339392,1058896,336489,837203,268,20,https://www.spkbopw.de/de/home.html
279,Kreissparkasse Gotha,Gotha,SGVHT,1333498,1137586,388058,572320,235,16,https://www.kreissparkasse-gotha.de/de/home.html
280,Kreissparkasse Walsrode,Walsrode,SVN,1330699,897378,386379,1005514,216,15,https://www.ksk-walsrode.de/de/home.html
281,Sparkasse Unstrut-Hainich,Mühlhausen,SGVHT,1327010,1089573,269284,625624,244,25,https://www.sparkasse-unstrut-hainich.de/de/home.html
282,Sparkasse Hochsauerland,Brilon,SVWL,1324004,883489,208350,1119362,267,24,https://www.sparkasse-hochsauerland.de/de/home.html
283,Kreissparkasse Saalfeld-Rudolstadt,Saalfeld,SGVHT,1309857,1078509,459597,727831,270,21,https://www.sparkasse-saalfeld-rudolstadt.de/de/home.html
284,Stadtsparkasse Bottrop,Bottrop,SVWL,1271656,896994,388688,869809,259,8,https://www.sparkasse-bottrop.de/de/home.html
285,Kreissparkasse St. Wendel,Sankt Wendel,SvSaar,1266299,971152,154934,866014,292,20,https://www.kskwnd.de/de/home.html
286,Sparkasse Arnstadt-Ilmenau,Ilmenau,SGVHT,1255401,1010207,527319,540818,241,24,https://www.spk-arnstadt-ilmenau.de/de/home.html
287,Sparkasse Ostprignitz-Ruppin,Neuruppin,OSV,1255329,998905,383590,539965,258,16,https://www.sparkasse-opr.de/de/home.html
288,Sparkasse Märkisches Sauerland,Hemer,SVWL,1247432,933202,419741,937269,213,11,https://www.sms-hm.de/de/home.html
289,Kreis- und Stadtsparkasse Wasserburg am Inn,Wasserburg am Inn,SVB,1237022,939562,342060,750452,230,21,https://www.sparkasse-wasserburg.de/de/home.html
290,Sparkasse Donauwörth,Donauwörth,SVB,1233153,962145,338488,822037,266,24,https://www.sparkasse-donauwoerth.de/de/home.html
291,Kreissparkasse Gelnhausen,Gelnhausen,SGVHT,1226189,1003637,173605,847330,254,21,https://www.ksk-gelnhausen.de/de/home.html
292,Stadtsparkasse Bocholt,Bocholt,SVWL,1205868,940226,388082,877481,212,13,https://www.stadtsparkasse-bocholt.de/de/home.html
293,Kreissparkasse Nordhausen,Nordhausen,SGVHT,1197095,965494,354227,666719,220,17,https://www.kreissparkasse-nordhausen.de/de/home.html
294,Stadtsparkasse Kaiserslautern,Kaiserslautern,SVRP,1162863,893873,277555,813511,221,23,https://www.stadtsparkasse-kaiserslautern.de/de/home.html
295,Bezirkssparkasse Reichenau,Reichenau,SVBW,1162472,654640,273044,1072352,141,6,https://www.spk-reichenau.de/de/home.html
296,Kreissparkasse Garmisch-Partenkirchen,Garmisch-Partenkirchen,SVB,1146561,867959,205459,746800,252,16,https://www.sparkasse-garmisch.de/de/home.html
297,Sparkasse Wiesental,Schopfheim,SVBW,1145356,832349,403511,803603,204,11,https://www.sparkasse-wiesental.de/de/home.html
298,Sparkasse Neuburg-Rain,Neuburg Donau,SVB,1129517,862744,246263,697803,262,18,https://www.sparkasse-neuburg-rain.de/de/home.html
299,Sparkasse Attendorn-Lennestadt-Kirchhundem,Attendorn,SVWL,1121731,802053,210476,570123,208,19,https://www.sparkasse-alk.de/de/home.html
300,Kreissparkasse Soltau,Soltau,SVN,1118806,885529,339635,851628,261,7,https://www.ksk-soltau.de/en/home.html
301,Sparkasse Hochschwarzwald,Titisee-Neustadt,SVBW,1106872,797090,313172,731127,231,16,https://www.sparkasse-hochschwarzwald.de/de/home.html
302,Sparkasse Muldental,Grimma,OSV,1098840,928693,357707,394657,168,14,https://www.spk-muldental.de/de/home.html
303,Sparkasse Uckermark,Prenzlau,OSV,1098342,894894,294995,426515,192,15,https://www.spk-uckermark.de/de/home.html
304,Sparkasse Haslach-Zell,Haslach i. K.,SVBW,1095225,798743,338648,725189,198,11,https://www.sparkasse-haslach-zell.de/de/home.html
